,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.00040780807342506904,0.0011454099895070486,1.72318133321586e-05,-0.0025173557015677585,0.001863534892155495,4072.908777803288,1.0003267247355827
r_star,0.8596849623371412,0.009861717413042061,0.00017278133627566633,0.8401341750443756,0.8786274171291157,3577.284430465574,1.0001187271712169
m_star,0.7916717094486815,0.02919972662025565,0.0004906420140532587,0.7353959633060648,0.849959198807035,3303.467025545479,0.9999430495648644
t0__0,2389.1291313388265,0.0022178413548895066,3.9258118837919705e-05,2389.125093800538,2389.1335762218605,2721.9379634731104,0.9999670764618004
logr__0,-4.540683189784986,0.037565482679147076,0.0008698306683853978,-4.611933180512855,-4.46752237581857,1970.9310475522382,0.9999353818399044
logP__0,1.9634477326446909,5.9935234669679625e-05,1.0684102600939742e-06,1.963321222412991,1.963552959629355,2694.749989952274,0.9997778797003477
logs2,-6.348812073486224,0.05899797413310723,0.0009560092962204104,-6.467780979251271,-6.240126292586383,3367.839143070153,0.9996671562660882
u__0,0.8712336178513774,0.3184457118372848,0.0062544173063099435,0.22753880549003874,1.4613368226134564,2504.6310161468855,1.0002637761607465
u__1,-0.1276652074268554,0.3437863463224507,0.0067437286896060555,-0.693309999782713,0.5688718117746436,2252.817374696565,1.0001121269681665
b__0,0.20517096431939633,0.10718025944545621,0.0030400944434087673,0.005267205227740194,0.37520790875951693,1217.3169181519302,1.0023530951890445
r_pl__0,0.01067363464516671,0.00040022453653557017,9.327147002771967e-06,0.009932598230553409,0.011475713161474868,1938.1516895577831,0.9999392772070839
rprs__0,0.01241568044932746,0.00044076279228241457,1.036363704344813e-05,0.011540358529850423,0.013274445852507383,1884.666261652596,0.9999149158110142
period__0,7.123845902518029,0.00042696836316840427,7.611181191903136e-06,7.12294470733429,7.124595549986536,2694.756849022976,0.999777892933139
