,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.001824718364285949,0.002929871011224235,3.958576005358182e-05,-0.007380637911716688,0.004064977700328402,4459.915985236563,0.9997636918732531
r_star,0.7598100837823077,0.007991492534457656,0.0001506772046713381,0.7439025695593185,0.7750018388109177,3172.2988387271416,1.0001264308211124
m_star,0.6907676117817659,0.010111186925955262,0.00016246699350950586,0.6704108688313893,0.7100904940704112,3801.429047285619,1.000758804023298
t0__0,2310.560314514277,0.00010819828747211057,1.755351295921032e-06,2310.5600982014134,2310.5605183917596,3799.273091179597,0.9996567835734091
logr__0,-2.476795318840922,0.018230844828028232,0.0004976591271038253,-2.513302226401213,-2.4404975579941484,1081.269239981661,1.0025653181578693
logP__0,1.6459240611313921,2.8075241086425927e-06,4.884854296754563e-08,1.6459183815988723,1.6459293597418336,3732.794851262936,0.9999061088986951
logs2,-3.984978881469267,0.03750145234815551,0.0006252041370993603,-4.056587617633581,-3.9106223133306757,3287.5434465577455,0.9996843894780914
u__0,0.9750991288699044,0.06486146107721345,0.0015480592332409826,0.8508450348081303,1.1042293345800027,2116.1338555736816,1.0011223109807872
u__1,-0.023884366238986054,0.08893199089502603,0.0030460581711383525,-0.22023698608823392,0.13230162483517457,755.6508475513187,1.0039308032582641
b__0,0.6876122735217262,0.012439031196759388,0.00036368171345242645,0.6622516454101013,0.7113356192971075,920.4878002176373,1.0030676672540708
r_pl__0,0.08402598939352862,0.0015320843063899136,4.2100132237436035e-05,0.08100031573120267,0.08711749467071311,1060.066483937594,1.002577119209111
rprs__0,0.110581069758597,0.001071891091603568,3.896658894769337e-05,0.10866490282656312,0.11287540174899127,533.3357481321,1.0058513383961312
period__0,5.185799689530431,1.4559258528405968e-05,2.5331885443216645e-07,5.185770236675654,5.185827167115171,3732.7909141864598,0.999906107499278
