,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.039315416916393085,0.08527823106519145,0.0018654862449600195,-0.2046136041593499,0.12149755322701153,1880.3106189949983,0.9996388510439351
r_star,0.47188733608849076,0.03779064146113807,0.0010452774427401777,0.4006417911216552,0.546119695594044,1373.84138957836,1.0004118286191457
m_star,0.4457982629130094,0.05074331912649035,0.0012450025794659859,0.3468334132375478,0.5443180846139428,1642.6741122233507,0.9994986040515463
t0__0,2558.962420864598,0.003893711014856262,9.521374518161411e-05,2558.954495924944,2558.969824165472,2172.306957334187,1.000990231661059
logr__0,-3.471266290236697,0.13223273355770304,0.0029397698857819335,-3.7179471900322305,-3.2152085209129724,1827.180864953162,1.0036621670979002
logP__0,2.3603837546229145,0.0003301148586309978,1.2517350840875827e-05,2.35981104580892,2.3611162234820737,592.7534587678739,1.0042513582099672
logs2,3.213113062569598,0.02434162319750896,0.0005573476012361884,3.1619552217401505,3.255978197601903,2106.2957236542898,0.999580579467019
u__0,0.5082136500676517,0.3918225607190712,0.008194363424274143,0.0008918466040450776,1.285553460106179,2258.8338575977605,0.9997367290962312
u__1,0.06911363361948597,0.3595972495104465,0.007385054824436468,-0.6374383424442372,0.7886840665905123,2274.5153156098895,1.0006527586150042
b__0,0.2537815642990322,0.18357091814738075,0.005288812127490035,0.0012452644755419251,0.6053095815034131,1350.8863968701332,1.0013013955990786
r_pl__0,0.03134632549528674,0.004074130189838542,8.85409349328816e-05,0.024283766672719805,0.040146961469690184,1916.5812750064438,1.0034493053202913
rprs__0,0.06650331770659587,0.007518108980426135,0.00017388361344816033,0.05172153465977029,0.08093982518582078,1832.1014487288248,1.0034118570621082
period__0,10.595017136306778,0.0034979354198938725,0.00013264390124969165,10.588950436825414,10.602779921521822,592.6582409003079,1.0042508424616032
