,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0015292623675884816,0.005045298703158481,7.349667598058369e-05,-0.010825525981244671,0.00875284437331615,3634.2501275798836,1.0010676315817815
r_star,1.6243185136891474,0.03020007675646512,0.0005331281153906717,1.5659591418604972,1.684772253149071,3479.502159115536,0.9996870365476777
m_star,1.2987929158182432,0.04113485746975752,0.0006942784432871375,1.2165002727298795,1.3753000030475546,3365.057550812914,1.000030525821392
t0__0,3032.110299984403,9.548373633812499e-05,1.4481930427427483e-06,3032.1101220752553,3032.110491502765,3783.120740919043,1.0000846849798986
logr__0,-2.162131229731521,0.028222145527920406,0.0006030208251571182,-2.2180043749136575,-2.1067053269929694,2101.977039586073,1.0001109221793978
logP__0,1.8213556861968774,9.468731172488371e-06,1.5767944178272478e-07,1.8213367719647697,1.821373377151001,3746.911613361663,1.0000059608259446
logs2,-2.41364129410076,0.024848399220480433,0.0003964246826689134,-2.463903245475336,-2.3685272283614904,3505.6577365335875,1.00006851051432
u__0,0.17551513237920033,0.14837337770652437,0.0041515016436336595,0.0004163517241387038,0.4724614639842943,962.3401182535563,1.0002671680160409
u__1,0.6469557237459931,0.2344706798080296,0.006827959680292137,0.18166589035217934,0.990611832193582,847.3704171991701,1.0004643810675322
b__0,0.6431213288940357,0.026259724689877213,0.0005583014668760774,0.5928906273818273,0.6952645778349137,2074.03664303294,1.0001493923755158
r_pl__0,0.11512547093606171,0.003253345987107444,6.9490534507069e-05,0.10882606830001616,0.12163806462325241,2100.4548357764975,1.0001202330751036
rprs__0,0.07086627171190585,0.0009311879707519943,2.542253088856861e-05,0.06915889628926683,0.07274448936939422,1004.7744389186579,1.0006642266726318
period__0,6.180231227617254,5.851896580477817e-05,9.74497121769694e-07,6.180114334117769,6.18034056249444,3746.910380270086,1.000005977792942
