,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0011127898530904595,0.006250900583588586,9.48510077359416e-05,-0.012487497259104679,0.011687723005205614,4196.8961616199285,1.0001079505268065
r_star,0.6566218949332575,0.07457692176354346,0.0017570664982972163,0.5220938184673622,0.8092579892841054,1666.2284590747192,1.0015647694047392
m_star,0.6846898478935485,0.12039641804840948,0.0019705782989437592,0.43900737625544206,0.91025847034743,3800.6819817505284,0.9995869518037733
t0__0,2151.3348544347414,0.003293378225220542,5.597454155825543e-05,2151.3287811825894,2151.3411599521623,3096.4545289716298,0.9997056743532234
logr__0,-3.911123274154898,0.15686092683815644,0.0042158510642693455,-4.190379289187467,-3.600737851248917,1355.7758528937327,1.0012828280831811
logP__0,2.1979723726947165,0.00011439628195477168,1.8177794125929405e-06,2.1977705073040967,2.1982077831943148,3053.0477006356973,0.9998566895590931
logs2,-3.30542806990566,0.0817002797777527,0.001417348432278507,-3.470388386784719,-3.1516889607226184,3841.5678850498466,1.0002562782538247
u__0,0.9589824171649184,0.4507277040170793,0.008138789648026789,0.051366869436400626,1.7039708471314565,2871.290139874395,0.999578944638867
u__1,-0.173591770570518,0.41418654997111315,0.007389264064465537,-0.885776859969522,0.6095819465891963,2995.102700956801,0.9995983496934079
b__0,0.41243057550542345,0.21136095040523256,0.006605345640678421,0.013935707060317206,0.7393519820988593,1054.03019019803,1.0018048659867016
r_pl__0,0.020272720965060824,0.0033317852118227792,8.932459833653417e-05,0.014588720602607052,0.026704451175843778,1347.325141391999,1.0014332472990783
rprs__0,0.030762459797820645,0.0022621628135813102,6.104679748747283e-05,0.0262772099723125,0.035090451064510794,1377.0731967507602,1.0003011999163107
period__0,9.006732734178135,0.0010303474309948267,1.637265769474091e-05,9.004914711132876,9.008853204270814,3052.977899231089,0.9998566709045409
