,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0005438211099973807,0.004537628322007949,7.862959746571112e-05,-0.009323188710207722,0.00826363318988882,3440.6947035763856,0.9996776322325165
r_star,0.9351858904121692,0.019869161773791482,0.0005094125862373722,0.8977315582002393,0.9745531298934856,1699.4926338130228,1.0018845824513447
m_star,0.957724983960794,0.0396666165271001,0.0007559125811035804,0.8839056079802329,1.0375210293646753,2748.4877917516683,1.0011737590794954
t0__0,2561.9990623033577,0.0014409638945297213,3.053901146553365e-05,2561.9964534086516,2562.0019997334543,1976.2988117791185,0.9997205766178242
logr__0,-3.6918070027170296,0.03577710082859915,0.0009507085335726648,-3.759034571376882,-3.6212350234856414,1351.8026887985093,1.0054482361769679
logP__0,1.4278121908491261,2.9712603411165397e-05,6.104307899632608e-07,1.4277527727862818,1.4278690077310856,1999.0532168619698,1.0002953230993485
logs2,-3.2483022906141676,0.040833838256363546,0.0007093653239629621,-3.3236240496819147,-3.1635340316853178,3501.1683781999773,0.999897872289861
u__0,0.6053795417889273,0.26752864306494095,0.005473597345912448,0.045744346741897285,1.0632099775846426,2485.304485809529,1.0010484080976676
u__1,-0.005175084560850846,0.3184932207449867,0.006692913084824108,-0.5203604008769618,0.6427624684966555,1991.0777569668282,1.0007548246785556
b__0,0.25709446682793397,0.10679229689804393,0.0035740869043190382,0.030851182854477015,0.4343663394193485,877.8090189563196,1.0052994181483381
r_pl__0,0.024942884212463972,0.0008932653425457005,2.3782955291449227e-05,0.023306230018634275,0.026749619675336046,1356.089048637921,1.0054149728654196
rprs__0,0.026669419501250898,0.0006880743617372333,1.590491864800907e-05,0.025339636989670674,0.028000541469036862,1734.336074473204,1.0046208460857884
period__0,4.169566990834102,0.0001238872245653902,2.5451769048435096e-06,4.169319248760399,4.169803897519164,1999.0984325844804,1.0002952873135178
