,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.00013393718745205463,0.001949587418892026,3.8202757448894436e-05,-0.004036474445052733,0.003746651104593502,2640.3035249119844,1.0005277912173571
r_star,0.9838168497398714,0.016254005371798174,0.0004040214440427769,0.9540977290273841,1.0164321176541795,1440.7485263624615,1.0016267734011777
m_star,1.0036469811758542,0.04413895230714126,0.0009641473969976881,0.9172303456054967,1.0872561198913697,1981.757181441271,0.9997749647424844
t0__0,2391.259580836279,0.0007580800489817637,1.6489189343650104e-05,2391.258082074044,2391.260999521858,2034.0013222268092,1.0013096042007457
logr__0,-3.334040175252629,0.021581805479151422,0.0006065629387481317,-3.3739721111877294,-3.2891721725193013,1017.9838833988422,1.0013245125507075
logP__0,2.693745540724591,2.9206931156562054e-05,6.713339277149954e-07,2.693688042384786,2.693798332209471,1861.0685018899744,1.0017035286466722
logs2,-6.408715652777341,0.20017191617523866,0.0038087873112035943,-6.807736575091896,-6.0444455148473555,2197.9001660825343,1.0000879936365896
u__0,0.49879854314565514,0.14049525719439857,0.004098477915507562,0.20675231192242874,0.7586792850825382,947.0398328280695,1.000599062285486
u__1,0.40015213811047373,0.18653557164587084,0.005575062260950761,0.02322021893737916,0.7627373469167779,928.7742166873903,1.0004778502401086
b__0,0.16515534746307578,0.09218711352266132,0.0029522597115054076,1.1086395534201177e-05,0.31029247491158296,766.7129571658603,1.0022867684622074
r_pl__0,0.03565710630645941,0.0007719697280314006,2.1816477727570376e-05,0.03425330881551976,0.03728470192503148,1007.3296384918556,1.001288503192914
rprs__0,0.036242781099140135,0.0004391168295155521,1.1270871989856686e-05,0.03539076856857373,0.037067167996769367,1153.8142024174176,0.9997354708010525
period__0,14.786957483883755,0.00043188284062009244,9.927098089380058e-06,14.786107276513853,14.78773812362442,1861.047697638891,1.001703498180624
