,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.004136604809198982,0.00016495035947616956,1.6296640125334607e-05,-0.004402277818718172,-0.003824352073973562,3.9418195918743946,1.6539885902976623
r_star,1.1877775341300867,0.0004997062390172893,4.894800411104073e-05,1.1873556409974988,1.1889758946993452,11.36032564143812,1.1489072422426785
m_star,1.0625983322928427,0.00034736179653287945,3.4070730047100725e-05,1.0619464071062612,1.0630900176624833,8.913041385461957,1.2246190664777197
t0__0,2307.4661408082943,0.000773395835781801,7.567646462273991e-05,2307.4656241672383,2307.4679416297304,11.993938244090412,1.1309239546425551
t0__1,2311.848272772105,0.0016192035733706392,0.00015852910018335293,2311.8470733045488,2311.852091512002,11.274353602545217,1.1478844726812272
logr__0,-4.061726586179325,0.00115823352128567,0.0001134080068605825,-4.064361890970702,-4.060350939627984,14.883083884387212,1.045811463080365
logr__1,-4.334220983789576,0.00041812161447828,4.121917546735971e-05,-4.33490409297437,-4.333532240300962,4.686473249763036,1.5446779673532505
logP__0,0.5562254224459329,2.1342828124602218e-06,1.9768354584570438e-07,0.5562208239529841,0.5562292144375942,26.543602639195978,1.1066274184524945
logP__1,2.053710648607127,0.0038228099941986886,0.0003741179307129278,2.044763392848094,2.0559856582072493,12.21129005625422,1.1210951277947812
logs2,-3.6863308443084426,0.002327636509666491,0.00022772245728439245,-3.6917473798967393,-3.6848690056656364,13.466580102211726,1.086906061379912
u__0,0.7396602010104825,0.0007047646924808597,6.896964750112723e-05,0.7380161066479898,0.7401355983081085,11.754561278957059,1.1352588262599306
u__1,-0.04273103595392495,0.0008693185734325543,8.5076638465116e-05,-0.04331539043642539,-0.0406871364631657,11.709062574781164,1.1354135723344283
b__0,0.9920568615133855,2.909828539685134e-05,2.8474848423135637e-06,0.9919872218478322,0.9920770067091197,11.481836458446317,1.1388674216617183
b__1,0.8202318659922179,0.00016132142698906707,1.5800595098334053e-05,0.820088598703182,0.8206139638472661,10.960056647088274,1.1614690942912806
r_pl__0,0.017219274433247854,1.9918863371047867e-05,1.9503846429841714e-06,0.017173944627011113,0.017242966813053318,14.87654381216924,1.0458472261552834
r_pl__1,0.01311208576802947,5.4825060859840435e-06,5.404737916212028e-07,0.013103130695022629,0.013121118595450185,4.687193511137842,1.5445406097567722
rprs__0,0.014497062593434208,2.2528768724065335e-05,2.205749013701921e-06,0.014444814287776603,0.014519498013338477,14.384448697094989,1.06046142551038
rprs__1,0.011039177831619984,5.525244523381555e-06,5.469417530953439e-07,0.011030207219697915,0.01104928467197304,3.443011420717455,1.7808395653650602
period__0,1.7440769067963848,3.7223529050801584e-06,3.4477526668387225e-07,1.7440688866854965,1.7440835203300407,26.54363803854066,1.1066273943571663
period__1,7.796835383536752,0.029657708759655742,0.0029026817543955957,7.727329980055061,7.814536539961759,12.189467986227434,1.1214920628757734
