,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.0011159360221338261,0.0037419351972966318,5.6898384989763576e-05,-0.006160758852481929,0.008364086952635984,3878.663404103795,1.0005234096935964
r_star,0.4522584929779756,0.009120652144338416,0.00016064061589707909,0.4346582528924901,0.4699356454377211,2839.4072407206904,1.0012860782170685
m_star,0.46934110459391265,0.010117458223568899,0.00017089645452792926,0.45023250725445674,0.49001449590081597,3458.4727375748557,1.00021758666271
t0__0,2562.2382337504673,0.0015429913184208438,2.881031765147078e-05,2562.2351438862815,2562.2412066621487,2608.2907150198603,0.9998628299156632
logr__0,-4.458175834224497,0.03842474413516067,0.0009229611033696169,-4.529270920783887,-4.379880133353117,1649.2174317833214,1.0012333090467205
logP__0,1.3442825715758273,3.7744795756351095e-05,7.630122409204133e-07,1.3442100923340556,1.3443615051596807,2351.822057466663,1.00026466447779
logs2,-3.4277508575454876,0.03613809592627997,0.0006471084970425928,-3.4971018110707512,-3.355467418511838,3779.227158369676,1.0004396998401155
u__0,0.9451257120334697,0.3165443160371333,0.007955019500875956,0.3366092257366104,1.5764631633260442,1551.6145371537443,0.9996976002229122
u__1,-0.14594712570792398,0.33938910003924827,0.00836105773226704,-0.6950775193168388,0.530898712528425,1608.1078322231003,0.9997789004815321
b__0,0.18629148282065597,0.11362465425720435,0.0031172185979824784,2.049791344013358e-05,0.3814549977547677,1295.0723899185703,1.0024430639081796
r_pl__0,0.011592067928791071,0.00044865263645918544,1.0880017079502254e-05,0.010784028538293012,0.012522334547448584,1609.6883126098312,1.0013069414431972
rprs__0,0.025633442261690613,0.0008973454868723397,2.1829400354272172e-05,0.023804374090565097,0.027351816338396565,1563.5531495393916,1.0002961413144476
period__0,3.8354339067385057,0.0001447691914910098,2.9265546180588006e-06,3.8351559247391314,3.8357366604987204,2351.7840949189726,1.000264663832326
