,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.0002590459050431894,0.011741139495568039,0.00016389125140447,-0.022350632769367825,0.023752687946022526,3969.893903313737,1.0003952357106758
r_star,0.40885666162833906,0.02614884025206088,0.00044091797425175206,0.35692978244241846,0.4583130049594275,2902.328307328368,0.9998995211687416
m_star,0.4878159745401881,0.048735541743512224,0.0007881966048894774,0.3890174052929671,0.5798363807043659,3314.590489153721,0.9995869642380024
t0__0,2410.086495854754,0.0016520437079257902,2.933433543737641e-05,2410.0833991444174,2410.0897846944217,3140.2448947712187,1.0000304531961772
logr__0,-3.9407163333352355,0.08657912938961801,0.0018531186335768977,-4.114756441417811,-3.7722942578624163,2039.613072693628,1.0001991396229413
logP__0,3.079686951073969,0.00011807528572768672,2.2314317654222936e-06,3.0794570885527186,3.07993221228783,2154.501349791316,1.0002690283567948
logs2,-1.221143473382047,0.038596043841678404,0.0005703540720735084,-1.298124325048517,-1.1455454971106016,4454.093841816036,0.9996729907899055
u__0,0.7227105529376154,0.4370382709058049,0.008353684052105986,0.0019633331137372764,1.473627622529277,3222.7004143726,1.0014318465321357
u__1,0.002957305762145416,0.4065652351029073,0.007391188078015093,-0.7036784322897154,0.797797272370995,3392.7137444409295,1.0010185991940743
b__0,0.3241672299027902,0.18045166667169335,0.005460297834986013,0.003565111027471749,0.6164890579750558,1046.7424858422262,1.000838297948926
r_pl__0,0.01950817666479196,0.001724215635350439,3.7591371827572245e-05,0.01632991721661312,0.02299923653205479,1983.7503008241251,1.0002037798189667
rprs__0,0.047716776925764655,0.0028603737112550777,6.335151890962589e-05,0.0420514360291206,0.05317184682836785,1989.04281381537,1.0010103993884925
period__0,21.751592169369946,0.0025683462845077047,4.8538119486356514e-05,21.746592716556837,21.756927493868854,2154.4142015398324,1.0002690608859055
