,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.001307455397333121,0.0019335794241204165,2.636113125560286e-05,-0.004823102703049223,0.002659986883741051,5498.892644614954,1.001011636285002
r_star,1.0198673870618966,0.019625139312794047,0.00028663283098300516,0.9802716736956238,1.0585341511099087,5030.133406007774,0.999953248482845
m_star,0.961536691346902,0.040371093529954244,0.0005693554660526222,0.8817096569186896,1.039799065227319,4270.001361705189,0.9999777688384067
t0__0,2568.2721831089416,0.002123649254836534,3.190584845935285e-05,2568.2681908617333,2568.2764328975045,4210.425727613613,1.0004549567183105
logr__0,-3.778345487988241,0.04104084969481825,0.0005991422616279555,-3.8542011642392713,-3.694290799960379,4648.909069142172,0.9995357606831775
logP__0,2.616129829459297,5.7248556536740424e-05,1.0360516642737891e-06,2.61602150365164,2.6162530724271273,2418.4020173155623,0.999940444398696
logs2,-4.665611104731172,0.03130506673075148,0.0004494761062925891,-4.728636835741942,-4.607261794105318,4575.479932469519,0.9999198796803662
u__0,0.6884122463170287,0.4007538006674024,0.006040641100004801,0.0003818982553238911,1.360534072114136,3854.638844791076,0.9997144321151047
u__1,0.09488320577673191,0.41531214560224694,0.006253561380625596,-0.6523589705627164,0.8287312031075191,3731.2189607418436,0.9995197016086372
b__0,0.701563790348712,0.02965384673382365,0.0005654590452413429,0.6449600296123632,0.760658339767814,2239.7802640500413,1.0009275519902425
r_pl__0,0.022879778549175903,0.0009419613663394899,1.3814948487756332e-05,0.02118244756828289,0.024856449279347798,4607.003708952706,0.9995366351247105
rprs__0,0.02243101363944987,0.0007268072322432052,1.1553191191678072e-05,0.021029458979371758,0.023845512948517004,3852.666355910641,0.9996051475127427
period__0,13.682666750492801,0.0007833168350223433,1.4176321624218792e-05,13.681184622423332,13.684353124442472,2418.3104810965488,0.9999404851710264
