,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.010659312374249202,0.09179209966025724,0.001496392368161132,-0.16565503583860489,0.19907430366632456,3165.9142186363783,0.9999631567217339
r_star,3.7312704429792696,0.13331588312033596,0.002178964816377903,3.474279349475771,3.9931342921967943,3483.5305008916666,1.0003825338027406
m_star,1.1311915403110924,0.0797867257579156,0.0014515172564992956,0.9751112786532689,1.2808470088816644,2785.3409478007475,0.9996726860466666
t0__0,2757.146342203156,0.007197943218931123,0.00013143987997453612,2757.132356147969,2757.1599713081573,3035.8361924966202,1.000269861779932
logr__0,-0.8399196053562702,0.14382532558690467,0.003308231505204067,-1.11137208070827,-0.5519830830980579,1646.9913895452917,1.000803312373857
logP__0,2.218364912784934,0.001156731716138534,2.2423039738175033e-05,2.2161134959524396,2.2205860386195284,2979.734646628026,1.000212183562282
logs2,0.7830453864932351,0.08374964360551522,0.0016377458659178764,0.6241061220477062,0.9486074772639632,3179.5077847047187,0.9997675337521201
u__0,0.5220993384591738,0.4205683164361915,0.008589140618178752,0.001124570771889079,1.3658167237956789,2115.1723220669955,1.0004624992309876
u__1,0.13753019252527157,0.388443031640037,0.006941112750814021,-0.5469945396838584,0.9128311455501902,2459.0179869061913,0.9999287206720711
b__0,0.9789191211438928,0.01748268718487987,0.00046309166756237365,0.9444573604845086,0.9999722352405672,1266.1242934915556,0.9999788364178656
r_pl__0,0.4361832619711527,0.062056862659433915,0.001392533578544912,0.3185433312769736,0.5612602507607932,1758.2073413175915,1.0007470578289823
rprs__0,0.11693458567464537,0.01635501587305249,0.00038094120713640057,0.08585485300594874,0.1490791763370831,1716.337802559649,1.00056779477302
period__0,9.192294527839687,0.010632833141829272,0.00020606311282066208,9.171615985174823,9.212728298750012,2980.710426084896,1.0002121740076702
