,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0012596285640843602,0.005363893705830365,0.00011080684639828769,-0.011866202735028383,0.008893780282903281,2388.063578630165,0.9997907442165522
r_star,0.7093504373991832,0.005102139222835536,0.00012338527049329592,0.6996451759838984,0.7195095326106915,1232.6830946706143,0.9997789427492296
m_star,0.703570058916839,0.009842854959632311,0.00026625359688497877,0.6842571279662693,0.7225841054302491,1258.4009640291777,1.000583011956853
t0__0,2390.925644523185,0.00014943397549300257,3.6918994527824237e-06,2390.925364440839,2390.9259544343613,1329.035928840908,1.000563621981028
logr__0,-2.688578459266684,0.006879531485241701,0.00030687797003460824,-2.7021835316227403,-2.675554297473553,300.2953502750637,1.0029438553846153
logP__0,1.2776490086204697,3.736041374528821e-06,8.147679238413309e-08,1.2776419244618942,1.2776561458576972,1672.8776654684495,1.000410294330089
logs2,-3.5502403170440266,0.08407393685685184,0.002465035045336153,-3.7229779116500197,-3.3939338972398123,888.7340878074119,1.0028825098672223
u__0,1.487949306259332,0.04078740806516631,0.0008248722989244803,1.4118887437910874,1.5705492921944835,2631.3944364269814,1.001988201808705
u__1,-0.5002108316807845,0.04228474823910659,0.0009422740196381423,-0.58100000799076,-0.41717082663546967,2276.6041080318414,1.0021826556976774
b__0,0.058418333544284703,0.04024568576690625,0.0018868819972089877,8.308431510484217e-05,0.1335598877071812,270.71877952130797,1.0075557307796155
r_pl__0,0.06797911412101544,0.00046853218880143,2.0988229307700005e-05,0.0670589274724842,0.06886864409748025,297.62747711740724,1.0029909976686864
rprs__0,0.09583478714416031,0.0005660971101929179,1.9155810327799837e-05,0.09474977590120659,0.09689600829686125,509.1841562289641,1.0044698865069972
period__0,3.588193988421955,1.3405639579431469e-05,2.923541809875779e-07,3.588168569151737,3.5882195982800185,1672.8815826054956,1.000410295833862
