,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0028029232287819753,0.007904339584916915,0.00013462113804716931,-0.0183138420000504,0.01247785429331797,3543.8088224298376,1.0000224855110804
r_star,0.9583410361549656,0.01898166234557067,0.0003555896063276508,0.9212150146143,0.9945214791449541,2817.495363142126,1.000085074618804
m_star,0.9145772354802302,0.02943998333034687,0.000518219500760967,0.855752060990931,0.9704656872208655,3315.0601549352855,1.0008492407400396
t0__0,2757.482186736727,0.00693783198505748,0.00012358025879843364,2757.4688260276066,2757.495852172254,3446.1063539744014,1.000433770131008
t0__1,2750.896109343787,0.009883253886385751,0.00017234245384027184,2750.875900448845,2750.9145884163972,2998.1990467923374,1.0002779763084855
logr__0,-3.6882925295631117,0.04804752509546799,0.0011653003621009991,-3.7829817274816064,-3.593917177122629,1880.2191055982926,0.9997922372245437
logr__1,-4.211634164823855,0.1546426183213271,0.0025168721543581242,-4.540052439068788,-3.9345804255834333,2948.237176687205,0.9995610472849169
logP__0,2.3089609445012877,0.0007403851983613581,1.5138140618846846e-05,2.3074950414022015,2.31042824820879,2559.644796338321,1.0005412248396464
logP__1,1.7737329687428285,0.0015596064620449835,2.842038703033395e-05,1.7708415585716104,1.776861566042873,2989.5193476869895,0.9997385961540296
logs2,-4.289276281705839,0.1021760215941235,0.0017136557754161108,-4.486976391912054,-4.093748024947018,3321.0987982332035,1.0001128211307255
u__0,1.0401035761395248,0.36473141004120824,0.007108208703735017,0.30763494174167866,1.7067048814174046,2717.312921397234,0.9996491097610377
u__1,-0.26607829253960014,0.3586267588645374,0.007106529057286473,-0.8147530771053272,0.4845311691367108,2467.9982119446763,0.9996010720109757
b__0,0.18597213559956113,0.1304807118357877,0.004394411210453686,0.00028141433704130764,0.43236113165112,726.9562240183566,1.0013000606985216
b__1,0.36261200300792173,0.21820954298343206,0.0041827335996612305,0.00036063560141202786,0.7309806115947936,2401.285548963825,1.0002365002640743
r_pl__0,0.025043669467195186,0.0012106163190377646,3.0166539767722247e-05,0.022673606193762196,0.027408790510990867,1765.5606041105013,0.9998071346926952
r_pl__1,0.01499737542218132,0.0022897174667400335,3.5407731846871606e-05,0.010672846864697374,0.019553901923545856,3030.464933582026,0.9995828116501467
rprs__0,0.026135465086847547,0.0012196559985918102,3.0747559392635595e-05,0.023852823237909673,0.028630784668678803,1720.7329938244848,1.0000783417939647
rprs__1,0.015649984330759842,0.002374171348917057,3.702039096582931e-05,0.010980653029426581,0.02027001238482114,3040.49058270417,0.9996456566170892
period__0,10.063964963485668,0.0074510060074198525,0.0001523232066409649,10.049220219569206,10.078739933265824,2560.3503764595557,1.0005410672626365
period__1,5.892817196657057,0.00919075672984407,0.00016749819487100337,5.875796107865162,5.911275129172771,2989.4478327127176,0.9997381978973423
