,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.00016431747198121855,0.004050022798115,7.932401881621928e-05,-0.008536307183921238,0.007391490840882465,2525.231873490054,1.0001656081884809
r_star,1.0074233131968564,0.055774261634730336,0.0015354608376483077,0.8962211042202586,1.115382382716206,1313.5748975154634,1.0002845636458022
m_star,1.0191960745703792,0.019006750460024088,0.0003698693914002524,0.9836814302631534,1.0597574937071443,2474.7502125050714,0.9998232188890751
t0__0,2321.845338403264,0.0018031835881784375,3.6566957079779173e-05,2321.8418421054816,2321.84886987682,2230.3662162258415,1.001594372052381
logr__0,-3.5528729326671638,0.0664898396924569,0.0018523430952640575,-3.6751278588909218,-3.4226002055900806,1260.054389632722,1.0004326997186965
logP__0,3.725023138083852,0.00021813388403351427,4.9574138800056545e-06,3.724585451489116,3.7254206534801044,1614.6867501935108,0.9996086364385367
logs2,-2.9642690257318822,0.026885852593132847,0.0005511402025647657,-3.0173273594120564,-2.9118159433396595,2345.669524354341,1.000642165121779
u__0,0.3362894516900734,0.2689706704179836,0.005585422043107442,7.380764764315348e-05,0.8553646611739688,2506.12264510557,1.0001464328839733
u__1,0.19926213026423906,0.3133877096380976,0.0063808859164452185,-0.3540862023617606,0.8249948322028864,2644.886648493374,0.9998211437906227
b__0,0.2596820223080034,0.15794764101177597,0.004271281935544012,0.0001858333025565053,0.5225499675544609,1191.1648296590452,0.9999619737095534
r_pl__0,0.028706254912450005,0.0019399624875387639,5.570456326331617e-05,0.02534616458304517,0.032627486372556844,1191.2584278676,1.00041846349029
rprs__0,0.02849607707212963,0.001112410284135219,2.1442024780442695e-05,0.02623759131888342,0.030562903615445974,1899.2418033573167,1.00001143800754
period__0,41.472193307445245,0.009046207486357124,0.00020558154637248348,41.454044469984886,41.48868143287747,1614.8582006621398,0.9996087070408634
