,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0024974511117678766,0.00283931829007617,5.220613516579433e-05,-0.00831939165061628,0.002693508707711354,2855.2888051824566,1.000791391770233
r_star,1.0122980202800134,0.03514472552026292,0.0008976710322138447,0.9488639339144658,1.0801705745295538,1271.515642497774,1.0020250862515565
m_star,1.0050753652902926,0.02036045796354263,0.00031832688773174094,0.9641680654734376,1.0431331646997213,2800.7512271527744,1.0013530699244446
t0__0,2562.3544437352357,0.0017984042492602483,4.468217526306726e-05,2562.351047932198,2562.357783042425,1388.5461834028993,1.00115688169718
logr__0,-4.108391473962356,0.036776882666872096,0.000669448983631548,-4.1807428682317855,-4.038667833411513,2422.802651551438,0.9998982736495362
logP__0,0.8751178606641388,5.680957486152586e-05,1.5190600715048243e-06,0.8749915848398958,0.8752097578628503,1225.8136117465174,1.0000748309618281
logs2,-3.862665065772135,0.031538294716656125,0.0005624024838848175,-3.921782218611767,-3.799963701297364,2889.8301681941894,0.9999765488752511
u__0,0.7203431302758279,0.31680691194627597,0.006372487574720846,0.07849941907666681,1.2952575733802107,2190.700939942464,1.0027886158006998
u__1,-0.0848497642091726,0.3289894479124434,0.0074464962921231585,-0.6729871764596657,0.5650010695941233,2024.532147090354,1.0024814314465476
b__0,0.12589005401917946,0.0905388373134503,0.002054618684406282,7.968368101288002e-05,0.2995251882301836,2167.4998086144096,1.0000495370775133
r_pl__0,0.016445310577484017,0.0006054025805937738,1.1023780093207393e-05,0.01528714701168063,0.017620930802187466,2418.4061511488326,0.9998919935816963
rprs__0,0.01625438544259328,0.0005717127129067489,1.217961875210966e-05,0.015127735015685337,0.017321121272598924,1956.9997113302304,1.001804566067659
period__0,2.399158047536016,0.0001362921865655913,3.644343978874543e-06,2.398855107132367,2.3993785296989856,1225.8479098913585,1.0000748837029751
