,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.03465476205648885,0.04175847709290293,0.0005771275517968613,-0.045941095998712156,0.11799554026491527,4079.6758270933633,0.9997191347104696
r_star,0.8839647962495587,0.049948428027971135,0.000693154863012539,0.7845994460309789,0.9808524738630412,4413.647009830727,0.9997808191353698
m_star,0.9397839145239868,0.020359787427676433,0.0003203825890452666,0.8997173587009003,0.9781758845208492,3944.9814609239625,0.9998514624334054
t0__0,2749.823860991779,0.003134449387600574,4.515645569643265e-05,2749.8176852560673,2749.8300082129517,4006.8670555493627,0.999507434261012
logr__0,-4.538594882192317,0.515870685140231,0.009888447752876103,-5.525104012836102,-3.4208978310353433,2475.0386587406424,1.00016146173418
logP__0,-1.007154569921882,2.8055650440987348e-05,4.2002108769845283e-07,-1.0072128609518622,-1.0071020556462758,4160.151629313584,0.9999869691193546
logs2,-0.8428657371095727,0.083137349207996,0.0012727376331784705,-0.9959257803958208,-0.6730163805959845,4099.007368076018,1.0004849477381847
u__0,0.7142365316321763,0.48508610927562107,0.008106402200444935,0.0006685843326666384,1.6022072669471918,4141.243461790884,0.9999007868187618
u__1,-0.025966891551402763,0.41866332013962887,0.0072471388888030955,-0.805032267425467,0.7683245215679965,4343.245542586117,1.0000792514784322
b__0,0.6485383678343436,0.2988025526560118,0.005000681608020574,0.09109180059229616,0.9999897613635299,3711.92052311835,0.9999586874982417
r_pl__0,0.012204444199164229,0.006791324317511309,0.00013209961255635817,0.0019692393613608625,0.026464071022451133,2383.0585246047685,1.0003751928506248
rprs__0,0.013818445533195351,0.0076572032628805945,0.0001488219512653818,0.002398174566167127,0.029946409474977835,2348.4503737119085,1.0004377573527463
period__0,0.3652568151986844,1.0247503818661573e-05,1.5341521639234631e-07,0.3652355244795081,0.36527599675563915,4160.166741207947,0.9999869755146407
