,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.0004396556543408045,0.001992442580610201,2.779007483084402e-05,-0.0036178994616913353,0.004189620948428154,4502.918487275107,1.0000615304625342
logg_star,3.791923660631122,0.0130898649577859,0.0003161162161065197,3.7666437292083987,3.8177026538853887,1797.3150116202535,1.0033055797246118
r_star,2.6717862027501265,0.06148423456766039,0.0011566851286272642,2.551670923223263,2.789806506718149,3011.690569998294,1.0008933006287597
t0__0,2400.826032248226,0.0011249630577583217,1.6616267131558405e-05,2400.8237710675576,2400.828174393494,4056.1987461126596,0.9997901457158561
logr,-2.205945199412723,0.02344581871251887,0.00047416009996477046,-2.2511103608901157,-2.159966584019039,2844.365186878249,1.0008857608112136
logP__0,2.9040505001038284,2.9907017589324294e-05,4.63474365835776e-07,2.9039952132460485,2.9041144306706226,4022.526213845895,1.0001481644440742
logs2,-4.582604586444808,0.028752263321755296,0.00037834508452327096,-4.638175809694486,-4.5254563951114175,4432.762304877318,0.9999699540319602
u__0,0.30960252452136094,0.12150929694017805,0.0025609096043246234,0.06917541266310867,0.5357986960171531,2293.2826317310346,1.000213470733332
u__1,0.2591130973152969,0.22289231120467537,0.004866797276350948,-0.13978144394022113,0.7351353842159135,2279.7722058278655,1.0002585182054988
b,0.09425108180353811,0.06540205812714492,0.00235866826769779,9.47419337591595e-05,0.2172005842681969,722.8098871103989,1.0062388402005595
r_pl,0.11017665101322663,0.002584413415297821,5.2434613165151126e-05,0.10528225833444183,0.11532897480449977,2833.5747254194926,1.0008752255012525
rprs,0.0412376477665875,0.00028641191275305535,6.455570294277923e-06,0.04066726764343335,0.04180153693109776,2002.0091237741594,1.0013827572456357
period__0,18.247909044329003,0.0005457422815233541,8.457527365023091e-06,18.246900194504697,18.24907567262722,4022.478975881451,1.0001481361918305
rho_star,0.1192561400816532,0.0030664535100704423,9.772994896818084e-05,0.11302329232515235,0.124535777040721,1030.6546272724877,1.0024951195267482
