,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.0008204224943900672,0.0013326361201052527,3.0442706763593757e-05,-0.0033659501782251407,0.0017702139547969185,1678.8819839069977,1.0007081524940147
r_star,0.681572375189206,0.010605975864473377,0.0003979625934709856,0.662586089103003,0.7013483575574739,548.7619070237274,1.0035563189103702
m_star,0.7352131262418344,0.019324166600427392,0.0005176453517078829,0.6966659255483006,0.7706647630096256,1391.45168352479,1.0011304246422594
t0__0,2984.7544134463037,0.0037769465838198937,9.400134629769835e-05,2984.7471418753144,2984.7618855092264,1901.6187949002747,0.9995626400773142
t0__1,2979.719679620302,0.0006922837254848004,1.3605185894838986e-05,2979.7183483688364,2979.7210269795683,2591.8163733733472,1.0011475255733784
t0__2,2947.809151348227,0.005277049433123187,0.0001185179484887759,2947.7985863887775,2947.819456384449,1906.5914915672015,1.0007486065045856
logr__0,-4.691718357450886,0.03847245686685142,0.0010142595406281982,-4.76561317910086,-4.613502642051887,1135.5013064308382,1.0009053372318955
logr__1,-3.656849321284594,0.0197190679768788,0.0007799737328067085,-3.68992786974707,-3.616252796854407,555.5595462705671,1.0012780264599055
logr__2,-4.266017655310706,0.041880304332028884,0.0012732865542403465,-4.348129667871993,-4.184933837063434,1057.7221737461869,1.000397750486632
logP__0,2.076351403082617,8.058749844419037e-05,1.916263047189705e-06,2.076195881865118,2.07650622732298,1731.9832604879139,0.9996484745238189
logP__1,2.8511045230867196,1.0889292425663677e-05,2.0941412592400114e-07,2.8510836129166788,2.851125837156295,2681.4823212371916,1.0011348482290772
logP__2,3.2416616310196518,7.960168912071646e-05,1.9637674990643365e-06,3.2414914851343917,3.2418031086240098,1468.4907484127973,1.0004675668083371
logs2,-5.263563699794171,0.030247335233356723,0.0006938483773628955,-5.3193372509607775,-5.201784311799968,2282.1968584287793,1.0021977757559646
u__0,0.821526211336368,0.09503849544945712,0.0016583160823935238,0.6401899510616356,1.0129043069642223,3018.3918405363606,0.9999213394579649
u__1,0.13302071618164002,0.10668302584343921,0.001943077753173706,-0.08755689817552449,0.3350712903052396,2757.19796949089,0.999722769278511
b__0,0.19446240891560954,0.11997629937750677,0.0030716056990195703,0.0001520350970248667,0.4004560516706837,1251.99833079214,1.0010143684644568
b__1,0.13052681299140312,0.07983301335256955,0.002928533175116506,2.3717604732875324e-05,0.2682088097762621,660.5450016185265,1.0005879436882401
b__2,0.5502386704428319,0.0651924839316246,0.001813579424661931,0.4090831094805931,0.6491110518084793,1328.6469621279641,1.0004174278399633
r_pl__0,0.00917772387556403,0.00035484087392524243,9.513566029017247e-06,0.00851766378737849,0.009917021626285924,1081.8491854914032,1.0010223280222552
r_pl__1,0.025818763743923702,0.000513614347915061,2.05707954941483e-05,0.02497380334406303,0.026883224892223962,540.9335042191572,1.0013293084349333
r_pl__2,0.014049866569969231,0.0005869606112893166,1.7935736764289887e-05,0.012903602705476525,0.015194181760598984,1034.8138791370422,1.0005492566368417
rprs__0,0.013465723842539188,0.0004814603398521794,1.0452735953327584e-05,0.012546813080126602,0.014441576544938396,1774.9667157529752,0.9997560623012262
rprs__1,0.03788028827686738,0.0003871877820365653,1.1730470134302876e-05,0.03715134608085266,0.038648148225910506,1169.8098384957145,0.9997063519349098
rprs__2,0.020612776526041845,0.000768882963829501,2.0264012981808446e-05,0.018994891524378207,0.02199940684434378,1458.3750654148964,1.0009794043937719
period__0,7.975317073632448,0.0006427077591841411,1.5282621376490203e-05,7.97407681316205,7.976551915730212,1732.0087845082724,0.9996484388007355
period__1,17.306887144936642,0.0001884598551412893,3.624309039304462e-06,17.30652525774121,17.30725602803862,2681.481809373421,1.0011348496477595
period__2,25.57618472154432,0.00203588086184594,5.022532763418225e-05,25.571833328126456,25.579803353823213,1468.4657710578842,1.0004675971333505
