,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.013153344058255825,0.008041796069705582,0.00014800647638052596,-0.029515554990202333,0.0019025600716566476,2804.673855821013,1.0007346660088228
r_star,0.35336186481545445,0.007664502049951506,0.0005025932063818036,0.34042171433002166,0.3689349036449269,131.9028891457698,1.0354477344693063
m_star,0.32185483451490543,0.009673823114613567,0.000284459185138896,0.30319423643889853,0.34100089619263374,1027.1618974433613,1.0038691954695866
t0__0,2311.6423758786796,0.0005025162427366884,1.4470846421916879e-05,2311.6413241792366,2311.6434342880566,1114.9221568759442,1.0038446659831224
logs2,-2.2406387565510886,0.05001468700839514,0.001086635504386668,-2.3318808226910743,-2.134636806257729,2019.9499378270925,0.9996649212334302
u__0,0.7283311637412693,0.18133736920027718,0.007130698472953041,0.362815569291723,1.0905098199730503,430.2046676664236,1.0075028086257478
u__1,-0.19934982951801947,0.21648015990829303,0.00655502070741706,-0.5293595274853208,0.26691046782846833,1119.2089303219475,1.0010437235332148
b__0,0.08359450829500517,0.06508665852276864,0.0029930436272312937,0.00013340745829592605,0.21982731512549167,264.1177528062608,1.009230895380649
r_pl__0,-0.017994277750069267,0.00034979848251469336,1.5921972753160512e-05,-0.018749860563766402,-0.017360709186141618,263.49867244451394,1.0068621658276762
rprs__0,-0.05093427184623759,0.0009533949777270122,4.963767857389116e-05,-0.05260374432214249,-0.048866583223394974,213.2377526014159,1.0210451608078666
period__0,2.64461426760429,3.8830638223262975e-05,2.4379697929606903e-06,2.6445394398452975,2.6447012604416194,133.14861628575284,1.038201767533195
