,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.002325546546289897,0.002050001340185105,3.347279671115295e-05,-0.006281426438426394,0.0016825516147531694,3567.3379424287386,1.000162521542462
r_star,0.6819526170310919,0.008974071555971483,0.00020927457520868633,0.6636804546929346,0.6981592056545565,1746.4004196292356,1.0007423026385522
m_star,0.7286663608318241,0.01947899450740342,0.00037674996646909584,0.6925200437001554,0.7678511321149145,2631.3432388838787,0.9998856453343098
t0__0,2388.9624455892817,0.0009383084868851704,2.3671732474750468e-05,2388.960615956453,2388.9642683795305,1403.9499302710203,1.0012092246614086
t0__1,2389.9300630083185,0.00037426723621802454,7.208990283424967e-06,2389.9292790026343,2389.9307689973125,3328.2047655846695,0.9999508827145923
logs2,-4.658450641085262,0.034314886896644886,0.0007419912013573907,-4.725333755453021,-4.592776668069252,2572.7993712436023,0.9998675987939079
u__0,0.945729186405362,0.15360973349489923,0.003102696830275285,0.6546545746589388,1.2428920277942683,2254.1629519494118,0.999975316682814
u__1,-0.0068006583185431825,0.1713199466881544,0.003617155389646511,-0.34296697110563407,0.3231350880003175,1915.9074527045038,0.9997519303712352
b__0,0.13829670601423794,0.08758564618919125,0.0026253689325101345,0.00030663273346843615,0.2925843942775885,962.0557867070523,1.0012359224561602
b__1,0.361811674733828,0.041066698585092126,0.0009219922353100258,0.2828137438800211,0.4386751476788653,1615.0106941936137,1.00161886298829
r_pl__0,0.015439761098351084,0.00034410790413132077,9.327396307944834e-06,0.014782687037122953,0.016124239028596103,1178.7451512207547,1.0007648782434297
r_pl__1,0.024904799077345333,0.0005719022613231963,1.3558606131001825e-05,0.023890161502242938,0.026081171674812664,1527.1647384452403,1.0019865226280922
rprs__0,0.022640907768519836,0.00042667578042913283,1.0601989969585392e-05,0.021848136156904122,0.02349388079673298,1498.5693066329645,1.0000548526369182
rprs__1,0.03651792785866562,0.0005760692591418832,1.2370477435688127e-05,0.03538941155084463,0.03765394691673263,1875.1040620868957,1.0017077009453441
period__0,3.2255367174266976,7.287537808986548e-05,1.5625098065599206e-06,3.2253899894473834,3.225671436112028,2220.254081913124,1.000744568505561
period__1,7.374831006598279,0.00015695762964513943,2.9250217444929004e-06,7.3745321972140045,7.375138661414299,3025.0612570872354,0.9996754702109961
