,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-0.00013091128171545995,0.003197792985531026,5.1407211522387575e-05,-0.006491108789880081,0.005999519528608635,4176.244682950524,1.0002004037428307
r_star,0.3446638746937856,0.0282602026177305,0.0007387535336565561,0.28894347939416426,0.3970353053287462,1325.896625156505,1.0006885593247972
m_star,0.3960462899663863,0.065304642831758,0.0011131470140976403,0.26792930576213275,0.5255112353248477,3289.479680453257,0.9998017616201581
t0__0,2502.011269994328,0.0005636073117194607,1.129443163412513e-05,2502.010064491932,2502.01231259415,2418.105823679578,0.9999466700455312
logr__0,-4.7338597335161845,0.09516562596168993,0.002422498675001778,-4.9235970273715,-4.555792265608759,1329.5745263528615,1.0008817636024083
logP__0,2.108980069069964,2.437421266933806e-05,4.998385473022916e-07,2.10892951435788,2.109026356543814,2297.6730529480055,0.9995607553718673
logs2,-3.566487048703615,0.029868689493547006,0.00042207300232914233,-3.6245382480366963,-3.509627507012905,4729.537857231925,0.9998899850988476
u__0,0.2227043751764276,0.18697209432564718,0.003270401200270645,6.424039098720211e-05,0.6005534172292186,2897.669477689675,0.9997349308810116
u__1,0.03417145310746618,0.17251429580013775,0.003534276568670315,-0.322061560945886,0.38163385292955027,2451.3115498798816,0.9998530224386306
b__0,0.6494228644217388,0.09673076772553159,0.003073256780203941,0.4530364736707277,0.8118603433641999,780.8061891163903,1.002566849071962
r_pl__0,0.008832253691443592,0.0008385993345068052,2.096215357961915e-05,0.007220340295820573,0.010436653622340385,1392.968552562788,1.0007136381257937
rprs__0,0.025610082107901427,0.0008379068150572952,1.291012300123119e-05,0.024022969788737924,0.02733965112149432,4018.2709258820237,1.0001069331452894
period__0,8.239832939365574,0.0002008392450723653,4.118589899810489e-06,8.239416385065597,8.240214346796703,2297.663407348803,0.9995607540222191
