,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,-1.2738346672499554e-05,0.0015818380224301158,2.1263844977970944e-05,-0.003109367688430781,0.0031007536715340965,4928.741664474784,0.9998569731292068
r_star,0.8752568676936907,0.009214897747258291,0.00014018643715740908,0.8570014897181388,0.8927123418030248,4441.374247557492,0.999946794121747
m_star,0.9272158585256782,0.02800949290768082,0.0004382168170349131,0.8748377901118288,0.9843867912596113,4231.393919861713,0.9998475717433271
t0__0,2389.145029299952,0.001410316133312661,2.1603593381143103e-05,2389.142425517638,2389.1479144984055,3438.6876875081853,1.0001508434812754
t0__1,2390.4193330964163,0.0011312734281444662,1.9812839475076075e-05,2390.4171243389405,2390.421497107022,3596.591333129351,0.9998597476654661
logr__0,-4.337202502262497,0.022544135655684895,0.00033749784403196116,-4.380745060750659,-4.291145174132404,3857.3318941063008,0.9999261199066201
logr__1,-3.8190187604151675,0.021901228956627525,0.0003967982378073658,-3.858168339158194,-3.773051912215834,3366.835307384541,1.0000993278838357
logP__0,0.950946327096623,4.048231650312913e-05,7.654961108872446e-07,0.9508726449185347,0.9510226245760328,2636.5070790603418,0.9998803077699919
logP__1,1.8990017828347505,3.1152427436425355e-05,5.524245116529247e-07,1.898947554110712,1.899067289957981,3877.5461197445716,0.9999515576664421
logs2,-5.691191676958924,0.05614355542295667,0.000834349787604192,-5.797860034830998,-5.579902653804643,4713.9611692150565,0.9999682052585704
u__0,0.7761316706163339,0.20394932996608892,0.004474390628482731,0.3911097310844696,1.1803581428962935,2026.1540489054041,1.001064713226671
u__1,0.14661641885389798,0.23229414653021616,0.005588767777501753,-0.30686930317040484,0.6021234142929193,1668.4191493127557,1.0010257811640637
b__0,0.10868547647739002,0.07757192069847973,0.0015593828942187173,1.721685783860025e-05,0.25281936476605155,2241.8887868311876,0.9997411720282192
b__1,0.48893684025411166,0.03586298331325713,0.0006882352031244623,0.41464098352117945,0.5527044282236323,2680.677896390313,0.9997677417810011
r_pl__0,0.013076373518145713,0.0002951132485718499,4.4324183792335795e-06,0.01250240258217906,0.01367471123686822,3827.913033846556,0.9999581545408801
r_pl__1,0.021954588001440834,0.0004802563990059243,8.682314890434012e-06,0.02110662431574434,0.022981817659946398,3386.2382820085595,1.0001133251193643
rprs__0,0.0149404053873233,0.00031581735168585316,4.985282726549525e-06,0.014364732200782746,0.01561009482122317,3529.2924812981723,1.0002633499561036
rprs__1,0.025082796193695543,0.0004373553977400216,8.344510948434994e-06,0.024202665338524283,0.02590372112119138,3140.67905282759,0.9998359805136462
period__0,2.5881577467132493,0.00010477537776461146,1.9812456607066553e-06,2.5879670505180834,2.5883552220381243,2636.49129576925,0.9998803111822742
period__1,6.67922380085285,0.00020807532582466274,3.689830856497624e-06,6.67886160164854,6.679661348679446,3877.4397854521053,0.9999515524153358
