,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.007947357644052182,0.013871358385071033,0.0011756149591017665,-0.01610560978147642,0.021049197853109762,,1.8900366760032077
r_star,0.22801061264281297,0.38367404400416344,0.037052962152277255,0.01970909041624779,1.3184606017052025,8.076072174631978,1.27202810461164
m_star,0.9572401407954824,0.04737315322198653,0.004366059187482897,0.8928980317253591,1.0147674342343485,2.331705716692116,2.7227657543234765
t0__0,2146.4690488180836,0.004241087371927337,0.00034547118634246134,2146.461855188063,2146.4753557086788,,1.537413362566142
logr__0,-3.635175940749458,0.5848728451806802,0.057798338631709155,-4.380902838159636,-2.3842532505448704,,2.3130023595057505
logP__0,1.724947146187902,8.70148362649398e-05,6.730423507371465e-06,1.7248265853332625,1.725118221514103,4.376186647662125,1.411434251352061
logs2,0.3994185370615832,0.059593918909921245,0.005903632532079402,0.30670280513450304,0.47167187947370887,,4.05900170833583
u__0,0.8599344347819097,0.5644063464862819,0.05454053712198428,0.13125748112795874,1.5286979034877555,,3.4868401592332243
u__1,-0.10675106155657209,0.40323913042673415,0.03817643320584185,-0.558189441280275,0.4043216664567292,,2.8988429729099887
b__0,0.9762632548920226,0.011427482657813843,0.0010474870282589032,0.9523681831118148,0.9866708853211054,,1.8453083773106942
r_pl__0,0.031953324196473724,0.02385703221453189,0.0022612442782754772,0.012514055352626986,0.09215777265700531,5.495158171984129,1.42281476848657
rprs__0,0.453306944087467,0.39425582462168607,0.03942089333962939,0.07089812192898595,1.110644486208475,,15.89743806619417
period__0,5.6122244156483,0.0004883851550027871,3.7774477953257194e-05,5.611547820616038,5.613184589649981,,1.4113728702722856
