,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.0012737253283939304,0.0016998262334331224,2.3455837567907098e-05,-0.00207815209689252,0.004571497833525948,4346.737208207787,0.9999080880828506
r_star,1.4524684936941394,0.018900112797557166,0.0002984881679065289,1.4161856607098111,1.4909178560038154,3789.5317422413527,0.9998201850857913
m_star,0.956317382303022,0.03520408636934069,0.0005330462178870226,0.8875233388872368,1.0260245853020054,4169.662178596771,0.9996464932868296
t0__0,2494.4754502260107,0.0004999008867147371,8.07349753017116e-06,2494.4744744811865,2494.4764164268545,4283.606997716262,0.9995855925781338
logr__0,-2.542531406506113,0.012418444005218543,0.00018147827296001378,-2.567267936072476,-2.5187587202651276,4106.6407885208,1.000084704971541
logP__0,2.990619935908659,4.182118826469229e-05,6.772426274329466e-07,2.9905338104930106,2.990693802386864,3639.593165009477,0.9996877622458409
logs2,-5.275189833844157,0.04710215409688347,0.0007711329363877417,-5.365433641881013,-5.182147289032971,4104.58094883703,1.000699167457481
u__0,0.16761415273748495,0.07077418890165142,0.0016397962254886722,0.032952487171067364,0.3054573819988143,2030.7464329504967,1.001067381359433
u__1,0.3651578326770545,0.1390243874548181,0.0031193958161831632,0.10871710858409425,0.6414471016732366,2107.075838108044,1.0007923273629977
b__0,0.0465335324238019,0.03478239593650646,0.000878459981733608,5.414362438303731e-05,0.11314979532558028,1666.4601817139483,1.0005439317160403
r_pl__0,0.07867307344828284,0.0009765390382261223,1.426846375965444e-05,0.07674493132432923,0.08055954163961193,4114.182895045249,1.0000949046181415
rprs__0,0.05416622550147004,0.00028161805006992555,5.395370674535731e-06,0.053590499875879036,0.054695034446053,2881.514717571743,0.9999466078469766
period__0,19.8980141796381,0.0008321540715513452,1.347558472314398e-05,19.896300511292438,19.899484012752335,3639.660369995796,0.9996877513013878
