,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.0007051177945729917,0.0041327433655087885,6.6041673805547e-05,-0.0068980317433156605,0.009206304556902077,3781.7921048439607,0.9997490225719244
r_star,0.8823832653483434,0.033604571864735255,0.0007370206368777553,0.8159412743426158,0.9474166644893277,1905.0301995168293,0.9996627654973869
m_star,0.9298596522052368,0.029800971370554534,0.00042783261540043857,0.874526795598004,0.9905416802712989,4322.773464575773,1.0003221892173666
t0__0,2149.2947714884385,0.003447470277906573,5.3176208304951644e-05,2149.2879311210154,2149.301348270013,4197.581579848546,1.0009475033535775
t0__1,2160.5400312003544,0.00105782765801165,1.8801409160101855e-05,2160.5379719873454,2160.542076826906,3629.0065914211596,1.0004276490360515
logr__0,-4.154014917062334,0.07429343903461033,0.0014509617833378965,-4.309769076677089,-4.012785026597001,2968.2832044168817,0.9996549203148176
logr__1,-3.5748228219045766,0.05526855519270387,0.001603603201608308,-3.6840370831300815,-3.469751248131755,1214.411438336261,0.9997407194451604
logP__0,2.6614201058554525,0.0001840825379195453,3.5691643510107366e-06,2.6610678507839407,2.6618196407818586,2220.2645915674443,1.0002467924813339
logP__1,3.3886170280557524,0.0001345856647750072,2.267454590905367e-06,3.388368767981962,3.3888780529577844,2696.141117238179,1.0003265238847434
logs2,-3.100400075225175,0.029676767291125297,0.0004418101271578782,-3.1555307500787615,-3.040767972043601,3982.614630080625,1.0004741881642547
u__0,0.6407263646589916,0.33280127924755704,0.010505116684863928,0.016643633909744403,1.192116115668656,1015.5404903947114,1.0054256635892775
u__1,0.09917505321337655,0.37422896967714414,0.013043081781754154,-0.5630126433759998,0.7929562931740093,824.5181884130108,1.007403004751448
b__0,0.26801153530220817,0.1610753714247006,0.005142324232821986,0.001715086943199861,0.5429380386343349,996.4179146589289,1.0020569224599374
b__1,0.2688598796037005,0.13918567582399777,0.005554640092839337,0.00854560485858243,0.49158876117388983,468.6568194737996,1.0002417404992043
r_pl__0,0.015744719293869083,0.0011747840883041501,2.309772169513122e-05,0.013415660851402084,0.018061630932436398,2949.43353171532,0.9996982752484319
r_pl__1,0.0280635017463093,0.0015675659371076776,4.570436967113568e-05,0.025121352855239865,0.031124772043373775,1206.16434415428,0.9997452315930557
rprs__0,0.017847310969947527,0.0011985329516713144,2.345964130578253e-05,0.015508745294494364,0.02030171162365685,2934.7497394194725,0.9998963234635182
rprs__1,0.031801454279286656,0.0012118657413732494,3.365979254495913e-05,0.029374017092261326,0.034108703242267766,1162.9162645946958,1.0006961173629858
period__0,14.316606007600663,0.002635433425672484,5.109561734638429e-05,14.311563556168307,14.322326891881525,2220.4122483977917,1.0002467956943524
period__1,29.624953715627917,0.003987088259073283,6.71731416715113e-05,29.61759966705903,29.63268730721751,2696.256236036775,1.0003264833610488
