,mean,sd,mc_error,hpd_2.5,hpd_97.5,n_eff,Rhat
mean,0.2410839031841748,0.00030384560450347957,1.925182690329741e-05,0.24048892116909773,0.24141102535604236,187.749564358294,1.0165433611512797
r_star,7.620614190242438,0.0022571302949161297,0.00015107060671703008,7.617661506377019,7.624892323415637,71.17387636017918,1.0632397539632625
m_star,0.15233300313180842,0.0007858396574853128,4.965103678132587e-05,0.15155486932461415,0.15382978601358469,189.14310768128385,1.0167561548077853
t0__0,2478.1593518349964,5.628058721824867e-05,5.589220088155836e-06,2478.1592558368948,2478.1594467310038,5.7332092379893105,1.4549166434120624
logr__0,-0.8455085237845442,0.0002044404954290972,1.535729792906542e-05,-0.8458581065663411,-0.8450915301531152,18.36712107360724,1.1175914655387567
logP__0,1.1980319956632994,2.4241433462524613e-06,2.420296755434361e-07,1.198027799510239,1.1980351337168564,2.2564891317710862,3.576562965400667
logs2,0.9149561315982443,0.0016881279561988404,0.00011326249766713613,0.9117941996429669,0.9176294845075232,102.86891746739607,1.0409537581061237
u__0,0.37384951097203295,0.00019049899563164448,1.1939695959953574e-05,0.37365007909789727,0.3742113116331847,200.77709412635244,1.0114839248897427
u__1,0.06755599734432968,7.381757317589932e-05,7.159036536399969e-06,0.06742410743016561,0.0677032889450177,3.3628979557630605,1.7546738552908008
b__0,0.6545248909698307,0.00010450810217465537,7.043786859616298e-06,0.6543272924361876,0.6546665753149271,75.26563030761048,1.0510916967484638
r_pl__0,0.4293389825822054,8.77896294486321e-05,6.594450698937589e-06,0.4291889103274212,0.4295180425592816,18.375860341280976,1.1175505050463106
rprs__0,0.05633915920724283,7.384029403384121e-06,5.57587568116541e-07,0.05632542870682888,0.056353160250591554,10.837019801313923,1.1912948384005642
period__0,3.313589343502913,8.032611282724534e-06,8.01986524715007e-07,3.3135754391942847,3.313599741730318,2.2564896757450006,3.576559676440537
